name,file,x,y,z,qw,qx,qy,qz,rotX_deg,rotY_deg,rotZ_deg
"240906_Gr3_EG_UG- 13","240906_Gr3_EG_UG-_13.jpg",2648877.6629653983,1177551.8668990883,654.1580684299944,-0.0001525101040852416,0.9335403051769053,-0.3584724159233114,0.00004871327464157632,-179.98568614288405,0.011475940289705468,42.0128220452471
"240906_Gr3_EG_UG- 14","240906_Gr3_EG_UG-_14.jpg",2648878.483134641,1177551.6454330946,654.3197898926509,0.00008618026647377195,-0.5933759935818937,0.8049254123856144,-0.00005752834817485179,0.0005536229872535749,179.9881392433079,-72.79389401362305
"240906_Gr3_EG_UG- 15","240906_Gr3_EG_UG-_15.jpg",2648880.2911097524,1177551.138708493,654.3130807374109,0.00011862163455156588,-0.2798104501921646,0.960055256831452,0.00004150254200872309,0.00836934444291518,179.98828066630318,-32.49778534595225
"240906_Gr3_EG_UG- 16","240906_Gr3_EG_UG-_16.jpg",2648880.0984041197,1177553.0685494873,654.3226471974823,-0.00009477352671050515,0.8103832520277656,-0.5859001390621562,0.00005383147325746277,-179.99481324088114,0.011361976243218953,71.73321236195254
"240906_Gr3_EG_UG- 17","240906_Gr3_EG_UG-_17.jpg",2648881.8728038506,1177550.733170635,654.3228490903879,0.00007698587300377933,-0.13327023463941398,0.9910797333261832,0.000028678088023516412,0.00443265333353104,179.99169472428912,-15.317216006674405
"240906_Gr3_EG_UG- 18","240906_Gr3_EG_UG-_18.jpg",2648878.7104550195,1177550.4306631929,654.6227662582464,0.00002555764838914027,0.6257826089246469,0.779997513533095,0.00006779718641267268,0.004227065491230578,179.99285393257728,77.47930387318148
"240906_Gr3_EG_UG- 20","240906_Gr3_EG_UG-_20.jpg",2648879.5985378586,1177548.773112987,654.3186799582572,0.00011987308043554396,0.09871722479882544,0.9951155184834335,0.000005648905171911092,-0.0007118685257837167,179.98626675077585,11.330614905953997
"240906_Gr3_EG_UG- 21","240906_Gr3_EG_UG-_21.jpg",2648879.598549352,1177548.7731099,654.3187104488356,0.00006413066813885799,0.0987179167072495,0.9951154514362912,0.00008438592522105156,0.008897220183199599,179.99173246862378,11.33069383676376
"240906_Gr3_EG_UG- 22","240906_Gr3_EG_UG-_22.jpg",2648880.5410096413,1177546.9908845776,654.2875282015281,0.000025884117894323927,0.9701562480418202,-0.24248060568688454,0.00009788336218090128,179.9944026083974,0.01016263941925408,28.065988834458143
"240906_Gr3_EG_UG- 23","240906_Gr3_EG_UG-_23.jpg",2648877.7984159007,1177547.513422063,654.2898368515719,-0.00003310155152502543,0.9993465593708517,-0.03614487984457706,-0.00002896461807133927,-179.9960893517018,-0.003179828653313342,4.142800640769876
"240906_Gr3_EG_UG- 24","240906_Gr3_EG_UG-_24.jpg",2648878.282093054,1177548.5875901645,654.2897312386348,0.00008437629340838643,0.9245784167002083,0.3809917834048795,0.00007232389931109335,179.9942179746999,0.011346373912134233,-44.79025879752324
"240906_Gr3_EG_UG- 25","240906_Gr3_EG_UG-_25.jpg",2648876.676688605,1177547.5346830988,654.2739718384489,-0.00009737441939553846,0.8622197689282384,-0.5065343614566303,0.00003537345994668147,-179.9924323416453,0.009147063347504546,60.866519285411115
"240906_Gr3_EG_UG- 26","240906_Gr3_EG_UG-_26.jpg",2648875.7997263176,1177548.376588166,654.1645569730167,0.0001082178035021803,-0.24857710854715434,0.9686121022780266,0.00006867157452793497,0.010704752554106066,179.9899444883458,-28.786658718414895
"240906_Gr3_EG_UG- 27","240906_Gr3_EG_UG-_27.jpg",2648875.520721831,1177549.8353882835,654.1576112051966,-0.00007072754906251888,0.991972645959436,-0.12645260105185144,0.00006597780251631751,-179.99291632452537,0.00852467900496565,14.529298336381732
"240906_Gr3_EG_UG- 28","240906_Gr3_EG_UG-_28.jpg",2648873.7554262034,1177548.7432088086,654.1872941009143,-0.0000021977473388182386,0.8780210601372029,0.47862198803701533,0.00010255831191359255,-179.994153958925,0.010198244018425326,-57.19088184808646
"240906_Gr3_EG_UG- 29","240906_Gr3_EG_UG-_29.jpg",2648872.260084167,1177549.1391524768,654.2344086513096,0.00008435400705639438,0.5031137524734502,0.8642201888440136,0.000100751689927362,0.005114448731170457,179.9858376294544,60.41243776726348
"240906_Gr3_EG_UG- 30","240906_Gr3_EG_UG-_30.jpg",2648870.2131141666,1177549.7407654917,654.3103138434295,0.00006164854007342227,-0.030234612962000914,0.9995428267853038,0.00004243276142973139,0.005073802823865808,179.9930858411992,-3.4651598239460033
"240906_Gr3_EG_UG- 31","240906_Gr3_EG_UG-_31.jpg",2648881.3426495297,1177539.1424327495,653.8506981348542,0.00008438723706525392,0.12215670170946002,0.992510822392918,0.00002322055195774038,0.001459688222333086,179.990077311495,14.0331766436842
"240906_Gr3_EG_UG- 32","240906_Gr3_EG_UG-_32.jpg",2648884.8783119856,1177553.7254745886,652.3921727677347,-0.00011647108552097819,-0.14901112960265234,0.9888355114888917,0.00003012523439837008,0.0014247642831497925,-179.9862880036374,-17.139248815771953
"240906_Gr3_EG_UG- 33","240906_Gr3_EG_UG-_33.jpg",2648871.3305449733,1177557.607196187,654.033001865293,-0.00010316070328224918,0.7295052458615373,-0.6839751990897657,-0.00011246547375846181,-179.98256147128325,-0.0013160600508208948,86.31013259137998
"240906_Gr3_EG_UG- TLS004","240906_Gr3_EG_UG-_TLS004.jpg",2648869.1006703656,1177550.0507145335,654.1458536097241,0.00014894413346670918,0.4910460043411606,0.8711336247173647,0.00008557459862994727,0.00016140092316696704,179.98031645767927,58.81871215580627
"240906_Gr3_EG_UG- TLS007","240906_Gr3_EG_UG-_TLS007.jpg",2648868.835340363,1177548.9576966637,654.1232485114725,0.00014548450173635538,0.9430455940867553,0.3326633506575028,0.00028537193679295796,179.99515670270037,0.03638466844725325,-38.86102051987633
"240906_Gr3_EG_UG- TLS008","240906_Gr3_EG_UG-_TLS008.jpg",2648867.2614899524,1177549.4542422076,654.1335208796069,0.00018135240577492678,0.6162416194596185,0.7875571294761654,-0.00003699126888084289,-0.016144763920756172,179.98624559558715,76.08439160771103
"240906_Gr3_EG_UG- TLS009","240906_Gr3_EG_UG-_TLS009.jpg",2648866.9271761235,1177549.30854311,654.1347524612657,0.000056921160091584696,-0.026921942117876393,0.9996375356361543,-0.00005603445225333776,-0.006243144552957124,179.99330681193297,-3.085399752743644
"240906_Gr3_EG_UG- TLS010","240906_Gr3_EG_UG-_TLS010.jpg",2648869.8360361746,1177548.5473418925,654.1435771576388,-0.00017329913572165068,0.885802041077213,-0.46406325889100886,0.00007575163019528002,-179.986437494715,0.01690485761350455,55.299228285941375
"240906_Gr3_EG_UG- TLS011","240906_Gr3_EG_UG-_TLS011.jpg",2648871.135932201,1177548.323968377,654.15543167509,0.00011520473810710288,0.6859341714825538,0.7276635801755174,0.00011491979499049774,0.000527130695782842,179.9813607994903,86.61823893850622
"240906_Gr3_EG_UG- TLS012","240906_Gr3_EG_UG-_TLS012.jpg",2648871.0727524916,1177546.9147040704,654.1566809478124,0.00015128395583181457,0.7091860124603999,0.7050213945809732,0.00010013382061294428,179.99579540859241,0.020359703936349595,-89.66254615120742
"240906_Gr3_EG_UG- TLS013","240906_Gr3_EG_UG-_TLS013.jpg",2648870.0705142836,1177545.354215714,654.145978925845,0.00015236196297538972,0.08119161696928434,0.9966984937567801,-0.00010326040386891041,-0.013211261860841721,179.98355896898542,9.314128442507181
"240906_Gr3_EG_UG- TLS015","240906_Gr3_EG_UG-_TLS015.jpg",2648870.3026881176,1177544.0436392375,654.1031669344375,0.00010590610938050373,0.9899899169870666,-0.14113804494944776,0.00007290874283503792,179.98680636567596,0.006558251298464172,16.227411582996066
"240906_Gr3_EG_UG- TLS016","240906_Gr3_EG_UG-_TLS016.jpg",2648869.1798859034,1177542.6130220355,654.0268248470547,-0.000037304900667482924,0.9906514314496991,0.1364175123966024,-0.00004781766780575011,-179.99651263667218,-0.006011436850200688,-15.681191347779444
"240906_Gr3_EG_UG- TLS017","240906_Gr3_EG_UG-_TLS017.jpg",2648868.0778657068,1177544.6138392822,654.054205295794,-0.0000023728047552205428,0.9690191191946117,0.24698569168971807,0.0001213681192122222,-179.9963015020901,0.013409731153964004,-28.59842536370346
"240906_Gr3_EG_UG- TLS018","240906_Gr3_EG_UG-_TLS018.jpg",2648866.7654700032,1177543.8956949199,654.0592655892219,0.00003855789965458283,0.1771118454817084,0.9841907298319461,0.000004026555620790702,-0.00032843797876510206,179.99556972094598,20.403155935878097
"240906_Gr3_EG_UG- TLS019","240906_Gr3_EG_UG-_TLS019.jpg",2648865.316891101,1177544.054969177,654.1034047768777,0.000027961829586483898,-0.028191087836733207,0.9996025517476629,-0.000018007752975413617,-0.001972386750880564,179.99673891051387,-3.230888699287467
"240906_Gr3_EG_UG- TLS020","240906_Gr3_EG_UG-_TLS020.jpg",2648866.1328813382,1177546.0890990149,654.1080033000159,0.00003356965708658781,0.9996794629762368,-0.025317233604255536,0.00008865240238348735,179.99589724049022,0.010058170457674999,2.9014516518936984
"240906_Gr3_EG_UG- TLS021","240906_Gr3_EG_UG-_TLS021.jpg",2648868.0142210308,1177546.1748962079,654.0927714594999,-0.000012331507364408085,0.9999817268406165,-0.006044858420063559,0.00007429316110546289,-179.99863840126358,0.008521755530083304,0.6926938697408628
